epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,21364.7,1.01983,0.5991,1.04824,0.92616,0.88346,0.92901,0.61753,1.14071,0.59678,1.10679,0.000742815,0.000742815,0.000742815
58,21505.1,1.00788,0.60041,1.04292,0.91882,0.88887,0.93244,0.62092,1.11267,0.60003,1.09506,0.000726312,0.000726312,0.000726312
59,21621.6,1.00487,0.59137,1.04381,0.92863,0.89681,0.93797,0.62057,1.12211,0.57851,1.09264,0.000709809,0.000709809,0.000709809
60,21768.4,1.00093,0.58798,1.04018,0.92161,0.8869,0.93089,0.61688,1.12195,0.58937,1.09867,0.000693305,0.000693305,0.000693305
61,21908.6,1.00832,0.59221,1.04585,0.91406,0.89494,0.9296,0.62105,1.12176,0.58634,1.09035,0.000676802,0.000676802,0.000676802
62,22036.7,0.98732,0.57346,1.03236,0.91777,0.8973,0.93325,0.62558,1.11788,0.58436,1.09252,0.000660299,0.000660299,0.000660299
63,22167.4,0.98102,0.57142,1.03089,0.92837,0.89604,0.93785,0.62767,1.11293,0.5808,1.09862,0.000643795,0.000643795,0.000643795
64,22295.7,0.98363,0.57858,1.02739,0.91445,0.90047,0.93184,0.62169,1.12172,0.58337,1.09446,0.000627292,0.000627292,0.000627292
65,22436.1,0.97286,0.56352,1.01985,0.93129,0.88997,0.93862,0.63122,1.10789,0.57557,1.08921,0.000610789,0.000610789,0.000610789
66,22564.5,0.97279,0.55931,1.0229,0.934,0.87736,0.92923,0.62812,1.10896,0.57527,1.09862,0.000594286,0.000594286,0.000594286
67,22704.5,0.97245,0.5686,1.03153,0.92321,0.88482,0.93758,0.6281,1.11141,0.5693,1.08885,0.000577782,0.000577782,0.000577782
68,22832.7,0.95776,0.5491,1.01706,0.92526,0.89192,0.93776,0.63438,1.09418,0.56446,1.08198,0.000561279,0.000561279,0.000561279
69,22951.3,0.94947,0.55433,1.0132,0.9315,0.89819,0.94339,0.63012,1.10762,0.56817,1.0841,0.000544776,0.000544776,0.000544776
70,23079.4,0.95055,0.54444,1.00859,0.91762,0.89957,0.93699,0.63086,1.1108,0.56106,1.09076,0.000528272,0.000528272,0.000528272
71,23219.5,0.95734,0.54378,1.01545,0.92392,0.89041,0.94021,0.63108,1.10417,0.5724,1.08352,0.000511769,0.000511769,0.000511769
72,23347.7,0.93474,0.52932,1.00769,0.92732,0.89893,0.93922,0.63772,1.08706,0.56047,1.08543,0.000495266,0.000495266,0.000495266
73,23487.6,0.94026,0.53703,1.00375,0.9301,0.90421,0.94244,0.63825,1.09629,0.54394,1.09659,0.000478762,0.000478762,0.000478762
74,23615.8,0.931,0.53263,1.00393,0.91901,0.9016,0.94272,0.63377,1.10433,0.55991,1.08988,0.000462259,0.000462259,0.000462259
75,23735.5,0.92357,0.52563,0.99929,0.92385,0.90057,0.94095,0.63298,1.10234,0.5574,1.09045,0.000445756,0.000445756,0.000445756
76,23863.7,0.92128,0.52653,0.99826,0.92903,0.9079,0.94325,0.63818,1.09094,0.54513,1.08378,0.000429253,0.000429253,0.000429253
77,23979.9,0.92399,0.52189,0.99315,0.9222,0.90631,0.93431,0.63928,1.08522,0.53627,1.07535,0.000412749,0.000412749,0.000412749
78,24107.8,0.90441,0.51556,0.99111,0.91599,0.90784,0.93629,0.63102,1.09981,0.55216,1.09229,0.000396246,0.000396246,0.000396246
79,24247.8,0.90088,0.51664,0.99148,0.92419,0.90261,0.93451,0.63351,1.09239,0.55442,1.08461,0.000379743,0.000379743,0.000379743
80,24393.6,0.90313,0.51581,0.98794,0.9105,0.90452,0.93419,0.63172,1.09937,0.55608,1.09536,0.000363239,0.000363239,0.000363239
81,24509.9,0.89234,0.50623,0.98885,0.92339,0.90601,0.93782,0.63448,1.09737,0.55042,1.09307,0.000346736,0.000346736,0.000346736
82,24638.5,0.89858,0.50213,0.99228,0.92748,0.90807,0.93707,0.63205,1.09268,0.54461,1.08833,0.000330233,0.000330233,0.000330233
83,24755.1,0.88876,0.49363,0.98632,0.93179,0.90321,0.93646,0.63242,1.09923,0.54562,1.09592,0.000313729,0.000313729,0.000313729
84,24883.5,0.88731,0.4981,0.98699,0.91601,0.91918,0.94396,0.63737,1.08873,0.54155,1.08671,0.000297226,0.000297226,0.000297226
85,25001,0.88137,0.49422,0.98368,0.94699,0.89996,0.94339,0.64313,1.0832,0.53763,1.08439,0.000280723,0.000280723,0.000280723
86,25142.5,0.87568,0.48864,0.98078,0.94614,0.8913,0.93768,0.63093,1.0928,0.5401,1.09025,0.00026422,0.00026422,0.00026422
87,25303.2,0.88012,0.48877,0.982,0.94306,0.89183,0.93775,0.63346,1.09265,0.54243,1.08919,0.000247716,0.000247716,0.000247716
88,25441.9,0.86943,0.48781,0.97943,0.93423,0.90783,0.94109,0.63224,1.08784,0.53969,1.0912,0.000231213,0.000231213,0.000231213
89,25602.6,0.86226,0.48009,0.97748,0.94192,0.90353,0.94186,0.63597,1.09186,0.53562,1.0942,0.00021471,0.00021471,0.00021471
90,25741.9,0.87093,0.48164,0.98036,0.9338,0.90986,0.93598,0.63347,1.09428,0.53303,1.09571,0.000198206,0.000198206,0.000198206
91,25924.8,0.81562,0.41845,0.93889,0.93653,0.89644,0.93845,0.63261,1.09501,0.54047,1.09513,0.000181703,0.000181703,0.000181703
92,26053.1,0.798,0.39656,0.92418,0.92635,0.90568,0.93766,0.62967,1.09513,0.54008,1.09653,0.0001652,0.0001652,0.0001652
93,26193.6,0.78417,0.38849,0.92119,0.9358,0.90512,0.93936,0.63266,1.09208,0.54146,1.09614,0.000148696,0.000148696,0.000148696
94,26322.7,0.77837,0.38641,0.91658,0.9399,0.90383,0.93809,0.63524,1.08684,0.5338,1.09802,0.000132193,0.000132193,0.000132193
95,26471.7,0.77711,0.38256,0.91356,0.93479,0.90853,0.9369,0.63481,1.09636,0.53731,1.10449,0.00011569,0.00011569,0.00011569
96,26612,0.7672,0.3737,0.91286,0.93255,0.90934,0.93517,0.63158,1.09986,0.53666,1.10736,9.91865e-05,9.91865e-05,9.91865e-05
97,26760,0.76823,0.37375,0.91497,0.93119,0.91159,0.93898,0.63272,1.09502,0.53359,1.10305,8.26832e-05,8.26832e-05,8.26832e-05
98,26888.2,0.75732,0.37339,0.91175,0.93113,0.90641,0.93703,0.63321,1.09723,0.53148,1.10842,6.61799e-05,6.61799e-05,6.61799e-05
99,27035.8,0.75465,0.36975,0.90789,0.93553,0.91016,0.93775,0.63455,1.09151,0.52871,1.10251,4.96766e-05,4.96766e-05,4.96766e-05
100,27164,0.75068,0.36775,0.90554,0.93395,0.91514,0.93758,0.6332,1.09328,0.53135,1.10341,3.31733e-05,3.31733e-05,3.31733e-05
